vtype	group	avg_prec_1	avg_prec_5	avg_prec_10	avg_prec_50	avg_prec_100	avg_rec_1	avg_rec_5	avg_rec_10	avg_rec_50	avg_rec_100	avg_f1_1	avg_f1_5	avg_f1_10	avg_f1_50	avg_f1_100	norm_prec_1	norm_prec_5	norm_prec_10	norm_prec_50	norm_prec_100	norm_rec_1	norm_rec_5	norm_rec_10	norm_rec_50	norm_rec_100	norm_f1_1	norm_f1_5	norm_f1_10	norm_f1_50	norm_f1_100	item_cov_1	item_cov_5	item_cov_10	item_cov_50	item_cov_100	genre_cov_1	genre_cov_5	genre_cov_10	genre_cov_50	genre_cov_100	actor_cov_1	actor_cov_5	actor_cov_10	actor_cov_50	actor_cov_100	director_cov_1	director_cov_5	director_cov_10	director_cov_50	director_cov_100	tag_cov_1	tag_cov_5	tag_cov_10	tag_cov_50	tag_cov_100	novelty_1	novelty_5	novelty_10	novelty_50	novelty_100	avg_ep_1	avg_ep_5	avg_ep_10	avg_ep_50	avg_ep_100	avg_er_1	avg_er_5	avg_er_10	avg_er_50	avg_er_100	norm_ep_1	norm_ep_5	norm_ep_10	norm_ep_50	norm_ep_100	norm_er_1	norm_er_5	norm_er_10	norm_er_50	norm_er_100	
user-item	2to10	0.014925	0.004809	0.002454	0.000513	0.000260	0.014925	0.024046	0.024544	0.025656	0.025951	0.014925	0.008015	0.004463	0.001006	0.000514	0.014925	0.006965	0.003980	0.001194	0.000796	0.014925	0.034826	0.039801	0.059701	0.079602	0.014925	0.011609	0.007237	0.002341	0.001576	0.03	0.13	0.25	0.89	1.21	14.77	42.24	56.58	75.91	77.32	0.05	0.24	0.46	1.63	2.19	0.06	0.28	0.54	1.81	2.40	0.68	2.63	4.49	11.41	13.76	6.09	6.22	6.17	4.49	3.07
user-item	10to20	0.006329	0.004726	0.002898	0.000758	0.000386	0.003165	0.010144	0.012151	0.015413	0.015699	0.004219	0.006448	0.004680	0.001446	0.000754	0.006329	0.010127	0.008861	0.004304	0.002468	0.003165	0.021097	0.035865	0.084388	0.098101	0.004219	0.013685	0.014211	0.008190	0.004816	0.03	0.13	0.26	1.07	1.58	15.29	42.61	58.03	80.81	83.44	0.05	0.24	0.47	1.94	2.82	0.06	0.29	0.56	2.15	3.05	0.74	2.78	4.83	13.56	17.02	5.98	6.26	6.32	5.36	4.01
user-item	20to50	0.040984	0.026011	0.014299	0.003458	0.001773	0.007332	0.023725	0.026083	0.031148	0.031899	0.012438	0.024816	0.018472	0.006224	0.003359	0.040984	0.040984	0.026230	0.012951	0.008115	0.007332	0.037848	0.047320	0.113219	0.142177	0.012438	0.039353	0.033751	0.023243	0.015353	0.03	0.13	0.27	1.19	2.04	14.97	43.36	58.07	82.40	86.07	0.05	0.24	0.47	2.11	3.51	0.06	0.29	0.56	2.34	3.81	0.85	3.23	5.46	15.69	21.52	5.61	5.90	6.02	5.77	5.04
user-item	50to100	0.022222	0.014815	0.009966	0.002754	0.001568	0.002020	0.005710	0.007682	0.010553	0.011972	0.003704	0.008243	0.008676	0.004368	0.002773	0.022222	0.035556	0.033333	0.017333	0.013333	0.002020	0.013136	0.025504	0.064958	0.100984	0.003704	0.019185	0.028898	0.027365	0.023556	0.03	0.13	0.27	1.29	2.43	16.37	44.33	60.47	85.03	89.82	0.05	0.26	0.51	2.37	4.31	0.06	0.28	0.57	2.46	4.42	1.11	3.83	6.27	17.07	24.66	5.15	5.59	5.78	6.09	5.96
user-item	100to1276	0.140000	0.088133	0.061706	0.023528	0.014566	0.003046	0.009869	0.013388	0.022077	0.026008	0.005962	0.017750	0.022002	0.022780	0.018674	0.140000	0.140000	0.118000	0.077600	0.059000	0.003046	0.017962	0.028734	0.086434	0.127977	0.005962	0.031840	0.046214	0.081779	0.080765	0.03	0.13	0.27	1.33	2.65	15.05	42.32	58.53	83.89	88.95	0.06	0.26	0.51	2.55	4.84	0.06	0.29	0.55	2.49	4.72	0.94	3.77	6.33	17.67	25.78	5.36	5.48	5.61	6.18	6.50
user-item	all	0.029514	0.017292	0.010815	0.003377	0.001959	0.008051	0.017502	0.019185	0.022519	0.023312	0.012652	0.017396	0.013832	0.005873	0.003614	0.029514	0.028819	0.022222	0.012431	0.008837	0.008051	0.028542	0.038236	0.080540	0.103800	0.012652	0.028680	0.028108	0.021537	0.016287	0.03	0.13	0.26	1.07	1.71	15.10	42.75	57.77	80.03	82.84	0.05	0.24	0.47	1.96	3.04	0.06	0.28	0.55	2.13	3.23	0.79	2.99	5.09	13.89	18.19	5.82	6.05	6.10	5.27	4.27
