vtype	group	avg_prec_1	avg_prec_5	avg_prec_10	avg_prec_50	avg_prec_100	avg_rec_1	avg_rec_5	avg_rec_10	avg_rec_50	avg_rec_100	avg_f1_1	avg_f1_5	avg_f1_10	avg_f1_50	avg_f1_100	norm_prec_1	norm_prec_5	norm_prec_10	norm_prec_50	norm_prec_100	norm_rec_1	norm_rec_5	norm_rec_10	norm_rec_50	norm_rec_100	norm_f1_1	norm_f1_5	norm_f1_10	norm_f1_50	norm_f1_100	item_cov_1	item_cov_5	item_cov_10	item_cov_50	item_cov_100	genre_cov_1	genre_cov_5	genre_cov_10	genre_cov_50	genre_cov_100	actor_cov_1	actor_cov_5	actor_cov_10	actor_cov_50	actor_cov_100	director_cov_1	director_cov_5	director_cov_10	director_cov_50	director_cov_100	tag_cov_1	tag_cov_5	tag_cov_10	tag_cov_50	tag_cov_100	novelty_1	novelty_5	novelty_10	novelty_50	novelty_100	avg_ep_1	avg_ep_5	avg_ep_10	avg_ep_50	avg_ep_100	avg_er_1	avg_er_5	avg_er_10	avg_er_50	avg_er_100	norm_ep_1	norm_ep_5	norm_ep_10	norm_ep_50	norm_ep_100	norm_er_1	norm_er_5	norm_er_10	norm_er_50	norm_er_100	
user-item	2to10	0.004975	0.002189	0.001157	0.000278	0.000141	0.004975	0.010945	0.011567	0.013896	0.014062	0.004975	0.003648	0.002103	0.000545	0.000278	0.004975	0.003980	0.002488	0.001592	0.000896	0.004975	0.019900	0.024876	0.079602	0.089552	0.004975	0.006633	0.004523	0.003122	0.001773	0.03	0.12	0.24	0.90	1.31	14.64	39.88	53.52	72.87	74.99	0.05	0.23	0.44	1.64	2.37	0.06	0.26	0.51	1.81	2.54	0.76	2.75	4.63	12.05	14.92	5.66	5.75	5.75	4.45	3.29
user-item	10to20	0.031646	0.011224	0.006482	0.001456	0.000737	0.014768	0.025774	0.029442	0.032785	0.033153	0.020138	0.015638	0.010625	0.002789	0.001442	0.031646	0.015190	0.012658	0.005316	0.003228	0.014768	0.033755	0.055907	0.113924	0.138186	0.020138	0.020952	0.020643	0.010159	0.006308	0.03	0.13	0.27	1.00	1.41	14.39	43.37	58.06	78.41	80.48	0.05	0.25	0.49	1.80	2.53	0.06	0.29	0.57	1.99	2.74	0.76	2.93	5.13	13.12	16.05	5.99	6.26	6.28	4.93	3.54
user-item	20to50	0.049180	0.017213	0.010321	0.002556	0.001323	0.010187	0.017887	0.020966	0.024729	0.025463	0.016878	0.017544	0.013832	0.004633	0.002516	0.049180	0.024590	0.020492	0.009508	0.006393	0.010187	0.024395	0.038577	0.079134	0.107517	0.016878	0.024492	0.026766	0.016977	0.012069	0.03	0.13	0.27	1.13	1.81	15.53	42.62	58.63	81.71	84.73	0.05	0.24	0.47	2.00	3.18	0.06	0.28	0.55	2.22	3.40	0.96	3.35	5.54	15.04	19.42	5.47	5.81	6.01	5.47	4.49
user-item	50to100	0.066667	0.026222	0.015704	0.004034	0.002261	0.004837	0.009745	0.011862	0.015564	0.017287	0.009019	0.014210	0.013515	0.006408	0.003999	0.066667	0.048889	0.040000	0.020000	0.016889	0.004837	0.018023	0.031504	0.080750	0.129952	0.009019	0.026337	0.035247	0.032060	0.029893	0.03	0.13	0.27	1.32	2.48	16.26	44.68	59.77	84.79	88.65	0.05	0.23	0.47	2.35	4.38	0.06	0.28	0.54	2.50	4.48	1.09	3.78	6.26	17.57	25.11	5.20	5.55	5.72	6.17	6.06
user-item	100to1276	0.220000	0.120267	0.077102	0.028157	0.017953	0.005460	0.013474	0.017282	0.025915	0.030780	0.010656	0.024233	0.028235	0.026989	0.022678	0.220000	0.172000	0.134000	0.084000	0.067800	0.005460	0.019423	0.032747	0.086268	0.136040	0.010656	0.034905	0.052632	0.085119	0.090498	0.03	0.13	0.27	1.33	2.65	13.47	43.58	59.05	81.89	88.95	0.06	0.28	0.54	2.51	4.84	0.06	0.28	0.54	2.44	4.67	1.13	3.93	6.54	18.68	27.60	5.13	5.31	5.45	5.94	6.23
user-item	all	0.045139	0.019977	0.012287	0.003797	0.002267	0.008797	0.016609	0.018980	0.022545	0.023417	0.014724	0.018138	0.014918	0.006500	0.004133	0.045139	0.029514	0.023438	0.012882	0.009757	0.008797	0.024465	0.037491	0.089586	0.113889	0.014724	0.026753	0.028843	0.022525	0.017974	0.03	0.13	0.26	1.05	1.65	14.78	42.12	56.82	77.98	80.84	0.05	0.24	0.47	1.89	2.95	0.06	0.28	0.54	2.06	3.11	0.86	3.11	5.26	13.99	18.08	5.63	5.85	5.92	5.06	4.08
