vtype	group	avg_prec_1	avg_prec_5	avg_prec_10	avg_prec_50	avg_prec_100	avg_rec_1	avg_rec_5	avg_rec_10	avg_rec_50	avg_rec_100	avg_f1_1	avg_f1_5	avg_f1_10	avg_f1_50	avg_f1_100	norm_prec_1	norm_prec_5	norm_prec_10	norm_prec_50	norm_prec_100	norm_rec_1	norm_rec_5	norm_rec_10	norm_rec_50	norm_rec_100	norm_f1_1	norm_f1_5	norm_f1_10	norm_f1_50	norm_f1_100	item_cov_1	item_cov_5	item_cov_10	item_cov_50	item_cov_100	genre_cov_1	genre_cov_5	genre_cov_10	genre_cov_50	genre_cov_100	actor_cov_1	actor_cov_5	actor_cov_10	actor_cov_50	actor_cov_100	director_cov_1	director_cov_5	director_cov_10	director_cov_50	director_cov_100	tag_cov_1	tag_cov_5	tag_cov_10	tag_cov_50	tag_cov_100	novelty_1	novelty_5	novelty_10	novelty_50	novelty_100	avg_ep_1	avg_ep_5	avg_ep_10	avg_ep_50	avg_ep_100	avg_er_1	avg_er_5	avg_er_10	avg_er_50	avg_er_100	norm_ep_1	norm_ep_5	norm_ep_10	norm_ep_50	norm_ep_100	norm_er_1	norm_er_5	norm_er_10	norm_er_50	norm_er_100	
user-item	2to10	0.014925	0.003433	0.001870	0.000429	0.000216	0.014925	0.017164	0.018704	0.021462	0.021604	0.014925	0.005721	0.003401	0.000842	0.000428	0.014925	0.004975	0.003483	0.001692	0.000945	0.014925	0.024876	0.034826	0.084577	0.094527	0.014925	0.008292	0.006332	0.003317	0.001872	0.03	0.13	0.27	0.96	1.29	15.58	43.57	58.89	80.78	82.01	0.05	0.24	0.48	1.74	2.32	0.06	0.29	0.57	1.96	2.55	0.77	2.88	4.83	12.44	14.61	6.01	6.35	6.54	4.85	3.29
user-item	10to20	0.025316	0.008882	0.005299	0.001192	0.000602	0.011603	0.020534	0.024010	0.026709	0.026913	0.015913	0.012400	0.008682	0.002282	0.001177	0.025316	0.015190	0.011392	0.004810	0.002785	0.011603	0.034810	0.049578	0.101266	0.114979	0.015913	0.021150	0.018527	0.009184	0.005438	0.03	0.13	0.27	0.85	1.01	14.96	44.54	60.03	77.81	78.51	0.05	0.25	0.49	1.52	1.81	0.06	0.29	0.57	1.72	2.02	0.78	2.86	4.87	11.37	12.54	5.90	6.31	6.48	4.24	2.55
user-item	20to50	0.049180	0.016612	0.010649	0.002635	0.001348	0.010656	0.017542	0.022026	0.026126	0.026608	0.017516	0.017065	0.014357	0.004787	0.002566	0.049180	0.024590	0.022951	0.009836	0.006066	0.010656	0.024245	0.044962	0.087126	0.105884	0.017516	0.024417	0.030389	0.017677	0.011474	0.03	0.13	0.27	1.05	1.59	15.49	43.14	58.15	80.67	83.17	0.05	0.23	0.46	1.86	2.77	0.06	0.28	0.56	2.08	3.02	0.87	3.30	5.42	13.80	17.37	5.71	5.92	6.15	5.14	3.96
user-item	50to100	0.088889	0.031778	0.017441	0.004509	0.002508	0.006424	0.011910	0.013181	0.017308	0.019096	0.011982	0.017327	0.015015	0.007154	0.004434	0.088889	0.053333	0.035556	0.020889	0.016889	0.006424	0.020043	0.027492	0.083532	0.129922	0.011982	0.029136	0.031008	0.033420	0.029892	0.03	0.13	0.27	1.30	2.38	15.91	45.15	59.76	84.56	89.12	0.05	0.23	0.47	2.37	4.20	0.06	0.28	0.54	2.46	4.32	1.06	3.70	6.09	17.09	24.34	5.20	5.61	5.80	6.12	5.81
user-item	100to1276	0.220000	0.119933	0.076587	0.028226	0.018020	0.005460	0.013834	0.017166	0.026069	0.031046	0.010656	0.024807	0.028045	0.027105	0.022804	0.220000	0.176000	0.134000	0.085600	0.068200	0.005460	0.020923	0.032457	0.089821	0.136907	0.010656	0.037400	0.052256	0.087660	0.091046	0.03	0.13	0.27	1.33	2.65	13.90	44.53	58.42	82.52	89.16	0.06	0.28	0.53	2.51	4.83	0.06	0.28	0.54	2.46	4.69	1.11	3.93	6.49	18.76	27.57	5.17	5.32	5.47	5.93	6.24
user-item	all	0.048611	0.020046	0.012372	0.003837	0.002286	0.011624	0.017469	0.020298	0.023965	0.024744	0.018762	0.018669	0.015374	0.006615	0.004185	0.048611	0.030556	0.023611	0.013056	0.009618	0.011624	0.026747	0.040241	0.090068	0.108987	0.018762	0.028524	0.029760	0.022805	0.017676	0.03	0.13	0.27	1.01	1.48	15.27	43.95	59.07	80.39	82.47	0.05	0.24	0.48	1.82	2.64	0.06	0.29	0.56	2.00	2.83	0.85	3.12	5.21	13.35	16.51	5.78	6.10	6.29	4.94	3.68
