vtype	group	avg_prec_1	avg_prec_5	avg_prec_10	avg_prec_50	avg_prec_100	avg_rec_1	avg_rec_5	avg_rec_10	avg_rec_50	avg_rec_100	avg_f1_1	avg_f1_5	avg_f1_10	avg_f1_50	avg_f1_100	norm_prec_1	norm_prec_5	norm_prec_10	norm_prec_50	norm_prec_100	norm_rec_1	norm_rec_5	norm_rec_10	norm_rec_50	norm_rec_100	norm_f1_1	norm_f1_5	norm_f1_10	norm_f1_50	norm_f1_100	item_cov_1	item_cov_5	item_cov_10	item_cov_50	item_cov_100	genre_cov_1	genre_cov_5	genre_cov_10	genre_cov_50	genre_cov_100	actor_cov_1	actor_cov_5	actor_cov_10	actor_cov_50	actor_cov_100	director_cov_1	director_cov_5	director_cov_10	director_cov_50	director_cov_100	tag_cov_1	tag_cov_5	tag_cov_10	tag_cov_50	tag_cov_100	novelty_1	novelty_5	novelty_10	novelty_50	novelty_100	avg_ep_1	avg_ep_5	avg_ep_10	avg_ep_50	avg_ep_100	avg_er_1	avg_er_5	avg_er_10	avg_er_50	avg_er_100	norm_ep_1	norm_ep_5	norm_ep_10	norm_ep_50	norm_ep_100	norm_er_1	norm_er_5	norm_er_10	norm_er_50	norm_er_100	
user-item	2to10	0.004975	0.002521	0.001260	0.000311	0.000157	0.004975	0.012604	0.012604	0.015561	0.015697	0.004975	0.004201	0.002292	0.000610	0.000311	0.004975	0.004975	0.002488	0.001692	0.000945	0.004975	0.024876	0.024876	0.084577	0.094527	0.004975	0.008292	0.004523	0.003317	0.001872	0.03	0.13	0.27	0.98	1.36	14.87	43.78	57.95	80.81	82.30	0.04	0.25	0.48	1.76	2.40	0.06	0.29	0.56	1.99	2.68	0.78	2.90	4.89	12.71	15.30	6.01	6.32	6.48	4.91	3.44
user-item	10to20	0.018987	0.007954	0.005303	0.001167	0.000586	0.008439	0.017774	0.023386	0.025524	0.025617	0.011685	0.010990	0.008646	0.002232	0.001146	0.018987	0.013924	0.013291	0.004684	0.002468	0.008439	0.030591	0.058017	0.098101	0.103376	0.011685	0.019137	0.021628	0.008940	0.004822	0.03	0.13	0.27	0.86	1.06	14.72	44.01	59.59	78.31	79.21	0.05	0.25	0.48	1.55	1.89	0.06	0.29	0.57	1.74	2.12	0.76	2.86	4.94	11.50	12.88	5.96	6.34	6.47	4.30	2.68
user-item	20to50	0.024590	0.013989	0.009570	0.002380	0.001230	0.004918	0.014773	0.019416	0.023477	0.024141	0.008197	0.014370	0.012821	0.004322	0.002341	0.024590	0.024590	0.025410	0.010492	0.006639	0.004918	0.025592	0.049288	0.094035	0.117164	0.008197	0.025081	0.033532	0.018877	0.012567	0.03	0.13	0.27	1.06	1.61	15.79	43.75	59.23	80.97	83.26	0.05	0.23	0.47	1.84	2.76	0.06	0.28	0.56	2.09	3.05	0.90	3.26	5.41	13.85	17.43	5.74	6.01	6.21	5.17	4.01
user-item	50to100	0.066667	0.025111	0.013790	0.003758	0.002142	0.004837	0.009192	0.010174	0.014199	0.016139	0.009019	0.013458	0.011709	0.005943	0.003782	0.066667	0.048889	0.031111	0.020000	0.016667	0.004837	0.017821	0.023250	0.078779	0.128455	0.009019	0.026120	0.026612	0.031901	0.029505	0.03	0.13	0.27	1.30	2.38	15.67	45.15	61.75	85.03	88.89	0.05	0.24	0.47	2.32	4.17	0.06	0.28	0.55	2.47	4.31	0.98	3.63	6.03	17.20	24.23	5.36	5.69	5.81	6.11	5.82
user-item	100to1276	0.240000	0.122000	0.078865	0.028428	0.018277	0.006230	0.013928	0.017973	0.026499	0.031402	0.012144	0.025002	0.029275	0.027429	0.023106	0.240000	0.172000	0.134000	0.084400	0.067800	0.006230	0.020037	0.032626	0.087212	0.133118	0.012144	0.035893	0.052475	0.085783	0.089842	0.03	0.13	0.27	1.33	2.64	13.68	44.74	58.42	81.89	88.95	0.06	0.27	0.52	2.49	4.80	0.06	0.28	0.54	2.46	4.67	1.11	3.90	6.49	18.72	27.46	5.18	5.35	5.48	5.94	6.22
user-item	all	0.038194	0.018576	0.011845	0.003694	0.002230	0.006011	0.014330	0.017281	0.020814	0.021605	0.010388	0.016179	0.014055	0.006275	0.004043	0.038194	0.029514	0.023958	0.012986	0.009601	0.006011	0.025624	0.039683	0.090066	0.107750	0.010388	0.027432	0.029878	0.022699	0.017630	0.03	0.13	0.27	1.02	1.52	14.99	44.02	59.01	80.58	82.75	0.05	0.25	0.48	1.83	2.68	0.06	0.29	0.56	2.02	2.90	0.84	3.11	5.24	13.49	16.84	5.82	6.13	6.28	4.98	3.78
