vtype	group	avg_prec_1	avg_prec_5	avg_prec_10	avg_prec_50	avg_prec_100	avg_rec_1	avg_rec_5	avg_rec_10	avg_rec_50	avg_rec_100	avg_f1_1	avg_f1_5	avg_f1_10	avg_f1_50	avg_f1_100	norm_prec_1	norm_prec_5	norm_prec_10	norm_prec_50	norm_prec_100	norm_rec_1	norm_rec_5	norm_rec_10	norm_rec_50	norm_rec_100	norm_f1_1	norm_f1_5	norm_f1_10	norm_f1_50	norm_f1_100	item_cov_1	item_cov_5	item_cov_10	item_cov_50	item_cov_100	category_cov_1	category_cov_5	category_cov_10	category_cov_50	category_cov_100	brand_cov_1	brand_cov_5	brand_cov_10	brand_cov_50	brand_cov_100	novelty_1	novelty_5	novelty_10	novelty_50	novelty_100	avg_ep_1	avg_ep_5	avg_ep_10	avg_ep_50	avg_ep_100	avg_er_1	avg_er_5	avg_er_10	avg_er_50	avg_er_100	norm_ep_1	norm_ep_5	norm_ep_10	norm_ep_50	norm_ep_100	norm_er_1	norm_er_5	norm_er_10	norm_er_50	norm_er_100	
user-item	2to10	0.002041	0.001000	0.000534	0.000132	0.000066	0.002041	0.003724	0.003895	0.004875	0.004875	0.002041	0.001577	0.000939	0.000258	0.000131	0.002041	0.002041	0.001224	0.000694	0.000347	0.002041	0.007143	0.008163	0.025510	0.025510	0.002041	0.003175	0.002130	0.001351	0.000685	0.00	0.02	0.04	0.14	0.15	0.57	1.74	2.90	6.64	6.79	0.02	0.07	0.14	0.44	0.46	11.35	11.47	11.48	7.66	4.02
user-item	10to20	0.000000	0.000649	0.000599	0.000211	0.000105	0.000000	0.001082	0.001996	0.003203	0.003203	nan	0.000812	0.000921	0.000396	0.000204	0.000000	0.002597	0.003896	0.002338	0.001169	0.000000	0.004329	0.012987	0.035065	0.035065	nan	0.003247	0.005994	0.004383	0.002262	0.00	0.02	0.04	0.15	0.16	0.54	1.66	2.79	6.60	6.81	0.01	0.07	0.14	0.48	0.50	11.31	11.48	11.41	7.87	4.15
user-item	20to50	0.000000	0.005000	0.004583	0.000917	0.000458	0.000000	0.003571	0.005655	0.005655	0.005655	nan	0.004167	0.005063	0.001578	0.000848	0.000000	0.025000	0.025000	0.005000	0.002500	0.000000	0.017857	0.030357	0.030357	0.030357	nan	0.020833	0.027419	0.008586	0.004620	0.00	0.02	0.04	0.16	0.16	0.61	1.72	2.88	7.49	7.49	0.01	0.06	0.11	0.46	0.46	11.42	11.51	11.51	8.31	4.15
user-item	50to100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	nan	nan	nan	nan	nan	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	nan	nan	nan	nan	nan	0.00	0.02	0.04	0.18	0.18	0.42	2.10	2.93	7.80	7.80	0.00	0.08	0.25	0.68	0.68	9.14	10.00	11.16	9.37	4.69
user-item	all	0.001736	0.001007	0.000598	0.000154	0.000077	0.001736	0.003363	0.003658	0.004654	0.004654	0.001736	0.001550	0.001028	0.000297	0.000151	0.001736	0.002431	0.001910	0.000972	0.000486	0.001736	0.006903	0.009102	0.026811	0.026811	0.001736	0.003595	0.003157	0.001876	0.000955	0.00	0.02	0.04	0.15	0.15	0.57	1.73	2.88	6.65	6.80	0.02	0.07	0.14	0.45	0.47	11.34	11.47	11.47	7.70	4.04
